node_id,title,face,level,parent_id,parent_title,U_z,D_z,L_z,F
ROOT1_1,Face 1 · Root Sentence 1,1,1,ROOT1,Face 1,2.077470,-0.552395,1.172220,1.604891
ROOT1_2,Face 1 · Root Sentence 2,1,1,ROOT1,Face 1,1.435861,-0.457147,0.891895,1.126845
ROOT1_3,Face 1 · Root Sentence 3,1,1,ROOT1,Face 1,1.880146,0.655785,1.110012,1.703249
ROOT1_4,Face 1 · Root Sentence 4,1,1,ROOT1,Face 1,2.137657,-0.450057,1.705313,1.874708
ROOT2_1,Face 2 · Root Sentence 1,2,1,ROOT2,Face 2,1.691131,-1.590488,-0.628388,0.445225
ROOT2_2,Face 2 · Root Sentence 2,2,1,ROOT2,Face 2,-0.026434,-0.468049,-0.511788,-0.314185
ROOT2_3,Face 2 · Root Sentence 3,2,1,ROOT2,Face 2,1.754472,0.000000,-0.612489,0.807687
ROOT2_4,Face 2 · Root Sentence 4,2,1,ROOT2,Face 2,1.092926,0.000000,-0.224868,0.565808
S11_F1_1,S11_F1 · Sent 1,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.508009,0.000000,0.911412,0.059759
S11_F1_2,S11_F1 · Sent 2,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.661064,0.000000,0.305074,-0.274609
S11_F1_3,S11_F1 · Sent 3,1,2,ROOT1_1,Face 1 · Root Sentence 1,0.035268,0.000000,0.736105,0.315603
S11_F1_4,S11_F1 · Sent 4,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.713567,0.000000,0.095551,-0.389920
S11_F2_1,S11_F2 · Sent 1,2,2,ROOT2_1,Face 2 · Root Sentence 1,-0.576042,0.000000,-0.707070,-0.628453
S11_F2_2,S11_F2 · Sent 2,2,2,ROOT2_1,Face 2 · Root Sentence 1,-0.964466,0.000000,-0.637703,-0.833761
S11_F2_3,S11_F2 · Sent 3,2,2,ROOT2_1,Face 2 · Root Sentence 1,-0.617125,0.000000,0.070151,-0.342214
S11_F2_4,S11_F2 · Sent 4,2,2,ROOT2_1,Face 2 · Root Sentence 1,-0.521847,0.000000,0.227457,-0.222125
S12_F1_1,S12_F1 · Sent 1,1,2,ROOT1_2,Face 1 · Root Sentence 2,-0.193697,0.000000,0.359822,0.027711
S12_F1_2,S12_F1 · Sent 2,1,2,ROOT1_2,Face 1 · Root Sentence 2,-0.676733,0.000000,0.490223,-0.209950
S12_F1_3,S12_F1 · Sent 3,1,2,ROOT1_2,Face 1 · Root Sentence 2,0.363921,0.000000,0.458803,0.401874
S12_F1_4,S12_F1 · Sent 4,1,2,ROOT1_2,Face 1 · Root Sentence 2,-0.543364,0.000000,0.737544,-0.031001
S12_F2_1,S12_F2 · Sent 1,2,2,ROOT2_2,Face 2 · Root Sentence 2,-0.567747,0.000000,0.155280,-0.278536
S12_F2_2,S12_F2 · Sent 2,2,2,ROOT2_2,Face 2 · Root Sentence 2,0.045842,0.000000,0.620407,0.275668
S12_F2_3,S12_F2 · Sent 3,2,2,ROOT2_2,Face 2 · Root Sentence 2,0.161082,0.000000,0.552929,0.317821
S12_F2_4,S12_F2 · Sent 4,2,2,ROOT2_2,Face 2 · Root Sentence 2,-0.797543,0.000000,-0.129895,-0.530484
S13_F1_1,S13_F1 · Sent 1,1,2,ROOT1_3,Face 1 · Root Sentence 3,0.085148,0.000000,-0.403645,-0.110369
S13_F1_2,S13_F1 · Sent 2,1,2,ROOT1_3,Face 1 · Root Sentence 3,0.154423,0.000000,0.445172,0.270723
S13_F1_3,S13_F1 · Sent 3,1,2,ROOT1_3,Face 1 · Root Sentence 3,-0.205862,0.000000,1.094468,0.314270
S13_F1_4,S13_F1 · Sent 4,1,2,ROOT1_3,Face 1 · Root Sentence 3,-0.025739,0.000000,1.322918,0.513724
S14_F1_1,S14_F1 · Sent 1,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.568851,0.000000,-1.720769,-1.029618
S14_F1_2,S14_F1 · Sent 2,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.758286,0.000000,-0.895764,-0.813277
S14_F1_3,S14_F1 · Sent 3,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.064356,0.000000,-1.075586,-0.468848
S14_F1_4,S14_F1 · Sent 4,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.397811,0.000000,-0.700685,-0.518961
