node_id,title,face,level,parent_id,parent_title,U_z,D_z,L_z,F
ROOT1_1,Face 1 · Root Sentence 1,1,1,ROOT1,Face 1,2.035371,-0.851939,0.908754,1.414336
ROOT1_2,Face 1 · Root Sentence 2,1,1,ROOT1,Face 1,1.390667,-0.734434,0.643703,0.944994
ROOT1_3,Face 1 · Root Sentence 3,1,1,ROOT1,Face 1,1.837095,0.638640,0.849937,1.569960
ROOT1_4,Face 1 · Root Sentence 4,1,1,ROOT1,Face 1,2.095846,-0.725685,1.412800,1.677491
S11_F1_1,S11_F1 · Sent 1,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.562572,0.000000,0.662158,-0.072680
S11_F1_2,S11_F1 · Sent 2,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.716365,0.000000,0.088857,-0.394276
S11_F1_3,S11_F1 · Sent 3,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.016676,0.000000,0.496403,0.188555
S11_F1_4,S11_F1 · Sent 4,1,2,ROOT1_1,Face 1 · Root Sentence 1,-0.769121,0.000000,-0.109249,-0.505172
S12_F1_1,S12_F1 · Sent 1,1,2,ROOT1_2,Face 1 · Root Sentence 2,-0.246745,0.000000,0.140622,-0.091798
S12_F1_2,S12_F1 · Sent 2,1,2,ROOT1_2,Face 1 · Root Sentence 2,-0.732110,0.000000,0.263917,-0.333699
S12_F1_3,S12_F1 · Sent 3,1,2,ROOT1_2,Face 1 · Root Sentence 2,0.313561,0.000000,0.234209,0.281820
S12_F1_4,S12_F1 · Sent 4,1,2,ROOT1_2,Face 1 · Root Sentence 2,-0.598098,0.000000,0.497762,-0.159754
S13_F1_1,S13_F1 · Sent 1,1,2,ROOT1_3,Face 1 · Root Sentence 3,0.033445,0.000000,-0.581246,-0.212431
S13_F1_2,S13_F1 · Sent 2,1,2,ROOT1_3,Face 1 · Root Sentence 3,0.103054,0.000000,0.221321,0.150361
S13_F1_3,S13_F1 · Sent 3,1,2,ROOT1_3,Face 1 · Root Sentence 3,-0.258969,0.000000,0.835239,0.178714
S13_F1_4,S13_F1 · Sent 4,1,2,ROOT1_3,Face 1 · Root Sentence 3,-0.077978,0.000000,1.051241,0.373710
S14_F1_1,S14_F1 · Sent 1,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.623708,0.000000,-1.826604,-1.104866
S14_F1_2,S14_F1 · Sent 2,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.814056,0.000000,-1.046551,-0.907054
S14_F1_3,S14_F1 · Sent 3,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.116781,0.000000,-1.216576,-0.556699
S14_F1_4,S14_F1 · Sent 4,1,2,ROOT1_4,Face 1 · Root Sentence 4,-0.451843,0.000000,-0.862102,-0.615946
